KF_Time;KF_States;KF_Covariance;
1525176486000501655;-0.0490916605034353   0.366805788853636   0.173626069066214                   0                   0                   0      2.778571984295   -2.53443037047562   -4.78516663156301;   0.815614472704577    0.815614472704577     1.05388228401259 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0295548326239029   0.0295548326239029     0.95796805982756;
1525176486100392106;-0.0429978757564632   0.368028411416405   0.167527408113773                   0                   0                   0      2.778571984295   -2.53443037047562   -4.78516663156301;   0.856614483814892    0.856614483814892      1.0948822951229 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0296548326213767   0.0296548326213767    0.967968059604043;
1525176486202518985;   -0.146076132076994     0.451023811042291     0.146407313920788 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77643725909604     -2.53283163004525     -4.79781731178178;   0.766340387726474    0.766340387726474     1.09022117781053 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07    0.029704651144884    0.029704651144884    0.945529936182068;
1525176486300364837;-0.139982653090377  0.452246372259148  0.140308958972669                  0                  0                  0   2.77643725909604  -2.53283163004525  -4.79781731178178;   0.807340398835788    0.807340398835788     1.13122118891984 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0298046511423577   0.0298046511423577    0.955529935958551;
1525176486400455035;-0.133876502280916  0.453471475878869  0.134197922062499                  0                  0                  0   2.77643725909604  -2.53283163004525  -4.79781731178178;   0.848340409986641    0.848340409986641     1.17222120007069 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0299046511398315   0.0299046511398315    0.965529935735033;
1525176486500325753;-0.127783938803406  0.454693853413029   0.12810048335677                  0                  0                  0   2.77643725909604  -2.53283163004525  -4.79781731178178;   0.889340421092958    0.889340421092958     1.21322121117701 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0300046511373053   0.0300046511373053    0.975529935511516;
1525176486600410028;-0.121678163604919  0.455918881672285  0.121989822358135                  0                  0                  0   2.77643725909604  -2.53283163004525  -4.79781731178178;   0.930340432242577    0.930340432242577     1.25422122232663 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0301046511347791   0.0301046511347791    0.985529935287998;
1525176486701198815;   -0.224685479990775     0.525879152719626     0.104630404562863 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77470431195186     -2.53173986125744     -4.80607751542679;   0.819863688040335    0.819863688040335     1.23817488094447 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0301664366703348   0.0301664366703348    0.964813479709155;
1525176486800463839;-0.218578710281037  0.527104380512123 0.0985187482564738                  0                  0                  0   2.77470431195186  -2.53173986125744  -4.80607751542679;   0.860863699193218    0.860863699193218     1.27917489209735 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0302664366678086   0.0302664366678086    0.974813479485638;
1525176486900320475;-0.212487014362996   0.52832658398405 0.0924221778044297                  0                  0                  0   2.77470431195186  -2.53173986125744  -4.80607751542679;   0.901863710296695    0.901863710296695     1.32017490320083 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0303664366652824   0.0303664366652824     0.98481347926212;
1525176487000453608; -0.20637824940609  0.529552212091554 0.0863085246549916                  0                  0                  0   2.77470431195186  -2.53173986125744  -4.80607751542679;   0.942863721456127    0.942863721456127     1.36117491436026 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0304664366627562   0.0304664366627562    0.994813479038603;
1525176487101039250;   -0.294796898889115      0.58641586340012    0.0733463090064594 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77341874850427     -2.53098304169924     -4.81065007361606;   0.829371539241913    0.829371539241913      1.3384341305887 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0305378538663431   0.0305378538663431    0.976513292402105;
1525176487200483774; -0.28868895329802  0.587641327114812 0.0672334758777819                  0                  0                  0   2.77341874850427  -2.53098304169924  -4.81065007361606;   0.870371550398655    0.870371550398655     1.37943414174544 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0306378538638168   0.0306378538638168    0.986513292178588;
1525176487300303877;-0.282599427407254   0.58886309520472 0.0611390771894541                  0                  0                  0   2.77341874850427  -2.53098304169924  -4.81065007361606;   0.911371561495029    0.911371561495029     1.42043415284181 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0307378538612906   0.0307378538612906     0.99651329195507;
1525176487400513312;-0.276485962707265  0.590089666242138 0.0550207205362299                  0                  0                  0   2.77341874850427  -2.53098304169924  -4.81065007361606;   0.952371572669896    0.952371572669896     1.46143416401668 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0308378538587644   0.0308378538587644     1.00651329173155;
1525176487500350536;-0.270395439620304  0.591311634403859 0.0489253238537578                  0                  0                  0   2.77341874850427  -2.53098304169924  -4.81065007361606;   0.993371583769533    0.993371583769533     1.50243417511632 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0309378538562382   0.0309378538562382     1.01651329150804;
1525176487602721003;   -0.346328983650272     0.638241962934099   -0.0447124498879227 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77248781442956     -2.53046443166715     -4.86309245800091;   0.865323590615219    0.865323590615219     1.46894082597608 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0310160882521677   0.0310160882521677    0.999769172084099;
1525176487700318276; -0.340238797009441   0.639463863593287 -0.0508075098557426                   0                   0                   0    2.77248781442956   -2.53046443166715   -4.86309245800091;   0.906323601713755    0.906323601713755     1.50994083707462 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0311160882496414   0.0311160882496414     1.00976917186058;
1525176487800415736; -0.334132242282447   0.640689048252742 -0.0569189510066582                   0                   0                   0    2.77248781442956   -2.53046443166715   -4.86309245800091;   0.947323612865933    0.947323612865933      1.5509408482268 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0312160882471152   0.0312160882471152     1.01976917163706;
1525176487900311551; -0.328038124201325   0.641911737693792 -0.0630179455599812                   0                   0                   0    2.77248781442956   -2.53046443166715   -4.86309245800091;    0.98832362397734     0.98832362397734      1.5919408593382 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.031316088244589    0.031316088244589     1.02976917141355;
1525176488000455051; -0.321928727227255   0.643137492605651 -0.0691322312323199                   0                   0                   0    2.77248781442956   -2.53046443166715   -4.86309245800091;    1.02932363513885     1.02932363513885     1.63294087049971 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0314160882420628   0.0314160882420628     1.03976917119003;
1525176488101077230;   -0.393099889698452     0.678557732369244    -0.147764677197561 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77174562524093     -2.53013592797183     -4.90271334775514;   0.890708092774247    0.890708092774247     1.58944097828395 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0314995143251005   0.0314995143251005       1.024557250293;
1525176488200487568;-0.386989083131587  0.679783770093961 -0.153880373591342                  0                  0                  0   2.77174562524093  -2.53013592797183  -4.90271334775514;   0.931708103940383    0.931708103940383     1.63044098945009 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0315995143225742   0.0315995143225742     1.03455725006948;
1525176488300347717;-0.380897114213854  0.681006028339004 -0.159977217261531                  0                  0                  0   2.77174562524093  -2.53013592797183  -4.90271334775514;   0.972708115044753    0.972708115044753     1.67144100055446 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.031699514320048    0.031699514320048     1.04455724984597;
1525176488400453459;-0.374790053751117  0.682231314466422 -0.166089164552876                  0                  0                  0   2.77174562524093  -2.53013592797183  -4.90271334775514;    1.01370812619859     1.01370812619859     1.71244101170829 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0317995143175218   0.0317995143175218     1.05455724962245;
1525176488501384028;   -0.426449800727269     0.707699718405925    -0.228255601924243 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77125665854716     -2.52993064967146     -4.93136631348946;   0.880451031503041    0.880451031503041     1.66480258555649 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0318870232274986   0.0318870232274986      1.0414085797445;
1525176488600457770;-0.420341649730596  0.708925223332033 -0.234368640622864                  0                  0                  0   2.77125665854716  -2.52993064967146  -4.93136631348946;   0.921451042660458    0.921451042660458      1.7058025967139 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0319870232249724   0.0319870232249724     1.05140857952099;
1525176488700316365;-0.414249829971353  0.710147451650759 -0.240465335015206                  0                  0                  0   2.77125665854716  -2.52993064967146  -4.93136631348946;   0.962451053764339    0.962451053764339     1.74680260781779 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0320870232224462   0.0320870232224462     1.06140857929747;
1525176488800456851;-0.408140606802003   0.71137317169142 -0.246579446743747                  0                  0                  0   2.77125665854716  -2.52993064967146  -4.93136631348946;    1.00345106492528     1.00345106492528     1.78780261897872 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07     0.03218702321992     0.03218702321992     1.07140857907395;
1525176488900383226;-0.402044586995874  0.712596242683838 -0.252680344543825                  0                  0                  0   2.77125665854716  -2.52993064967146  -4.93136631348946;    1.04445107604291     1.04445107604291     1.82880263009636 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0322870232173938   0.0322870232173938     1.08140857885043;
1525176489002704122;   -0.440324996304301     0.730343031680001    -0.301714802746508 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77093257386786     -2.52981001039602     -4.95171429796066;   0.903265230358274    0.903265230358274     1.77295261345793 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0323773099721883   0.0323773099721883     1.06964566261637;
1525176489100268547; -0.43423529502337  0.731564834959319 -0.307809376966047                  0                  0                  0   2.77093257386786  -2.52981001039602  -4.95171429796066;   0.944265241455221    0.944265241455221     1.81395262455488 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.032477309969662    0.032477309969662     1.07964566239285;
1525176489200473964;-0.428122113633006  0.732791349155094 -0.313927450082943                  0                  0                  0   2.77093257386786  -2.52981001039602  -4.95171429796066;   0.985265252629157    0.985265252629157     1.85495263572881 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0325773099671358   0.0325773099671358     1.08964566216933;
1525176489300395679;-0.422026396414245  0.734014359438091 -0.320028045053525                  0                  0                  0   2.77093257386786  -2.52981001039602  -4.95171429796066;     1.0262652637458      1.0262652637458     1.89595264684546 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0326773099646096   0.0326773099646096     1.09964566194581;
1525176489400474118;-0.415920977609993   0.73523931619242  -0.32613834937274                  0                  0                  0   2.77093257386786  -2.52981001039602  -4.95171429796066;    1.06726527489425     1.06726527489425     1.93695265799391 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0327773099620834   0.0327773099620834      1.1096456617223;
1525176489501958762;   -0.436912802069193     0.748312200492404    -0.365867416725404 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77075975170916     -2.52973439754266     -4.96662755975099;   0.919257010582256    0.919257010582256     1.87299194519603 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0328696149020424   0.0328696149020424     1.09900610884352;
1525176489600348205;-0.430812885719328  0.749536053265473 -0.371972214187907                  0                  0                  0   2.77075975170916  -2.52973439754266  -4.96662755975099;   0.960257021712661    0.960257021712661     1.91399195632644 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0329696148995161   0.0329696148995161     1.10900610862001;
1525176489700305299;-0.424715048924855  0.750759488808172  -0.37807493043027                  0                  0                  0   2.77075975170916  -2.52973439754266  -4.96662755975099;    1.00125703283625     1.00125703283625     1.95499196745002 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0330696148969899   0.0330696148969899     1.11900610839649;
1525176489800443402;-0.418605996204922  0.751985174650825 -0.384188871573002                  0                  0                  0   2.77075975170916  -2.52973439754266  -4.96662755975099;    1.04225704399663     1.04225704399663      1.9959919786104 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0331696148944637   0.0331696148944637     1.12900610817297;
1525176489901029062;   -0.434753211284795     0.757164221739669    -0.414742010019872 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77063144505854     -2.52971157632357     -4.97695635273535;   0.902505544473607    0.902505544473607     1.93025430836574 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0332636001597634   0.0332636001597634     1.11996244301472;
1525176490000451903;-0.428646803825821  0.758389376852218 -0.420853303785625                  0                  0                  0   2.77063144505854  -2.52971157632357  -4.97695635273535;   0.943505555625301    0.943505555625301     1.97125431951743 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0333636001572372   0.0333636001572372      1.1299624427912;
1525176490100329110;-0.422553804463886  0.759611841839768  -0.42695117872457                  0                  0                  0   2.77063144505854  -2.52971157632357  -4.97695635273535;   0.984505566733045    0.984505566733045     2.01225433062518 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.033463600154711    0.033463600154711     1.13996244256768;
1525176490200407196;-0.416448396396605  0.760836796439892 -0.433061472298223                  0                  0                  0   2.77063144505854  -2.52971157632357  -4.97695635273535;    1.02550557788146     1.02550557788146     2.05325434177359 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0335636001521847   0.0335636001521847     1.14996244234417;
1525176490300369642;-0.410350211382636  0.762060301847385 -0.439164537038725                  0                  0                  0   2.77063144505854  -2.52971157632357  -4.97695635273535;    1.06650558900619     1.06650558900619     2.09425435289832 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0336636001496585   0.0336636001496585     1.15996244212065;
1525176490402593661;   -0.438017138475401     0.765553809608195    -0.462845609048976 -6.99658417311376e-12 -2.18654182004132e-13                     0      2.77045797188424     -2.52969992744048     -4.98397719317182;   0.919413952021244    0.919413952021244     2.02128642899148 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0337586382950723   0.0337586382950723     1.15176082250834;
1525176490500305462;-0.431928015892812  0.766775496780746 -0.468939604107102                  0                  0                  0   2.77045797188424  -2.52969992744048  -4.98397719317182;   0.960413963116298    0.960413963116298     2.06228644008653 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0338586382925461   0.0338586382925461     1.16176082228483;
1525176490600457458;-0.425818121113716  0.768001351569394 -0.475054387982806                  0                  0                  0   2.77045797188424  -2.52969992744048  -4.98397719317182;    1.00141397427944     1.00141397427944     2.10328645124968 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0339586382900199   0.0339586382900199     1.17176082206131;
1525176490700340069;-0.419724809830568  0.769223879139055 -0.481152575092562                  0                  0                  0   2.77045797188424  -2.52969992744048  -4.98397719317182;     1.0424139853882      1.0424139853882     2.14428646235844 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0340586382874937   0.0340586382874937     1.18176082183779;
1525176490800411415;-0.413619807694003  0.770448752295532 -0.487262462410676                  0                  0                  0   2.77045797188424  -2.52969992744048  -4.98397719317182;    1.08341399653529     1.08341399653529     2.18528647350553 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0341586382849674   0.0341586382849674     1.19176082161427;
1525176490901455030;   -0.439700566425581     0.767487480270121    -0.504696387864029 -3.99804809892215e-12 -1.24945246859504e-13                     0      2.77030895668332     -2.52971930534394     -4.98828787402259;   0.927770761015722    0.927770761015722     2.10360328701506 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0342544204785365   0.0342544204785365     1.18401500741905;
1525176491000433831;-0.433592957279617  0.768712876482312 -0.510808884278054                  0                  0                  0   2.77030895668332  -2.52971930534394  -4.98828787402259;    0.96877077217136     0.96877077217136      2.1446032981707 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0343544204760103   0.0343544204760103     1.19401500719554;
1525176491100356531;-0.427497217732836  0.769935891245076 -0.516909501594522                  0                  0                  0   2.77030895668332  -2.52971930534394  -4.98828787402259;    1.00977078328808     1.00977078328808     2.18560330928741 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0344544204734841   0.0344544204734841     1.20401500697202;
1525176491200446245;-0.421391127684872  0.771160982673954 -0.523020477694575                  0                  0                  0   2.77030895668332  -2.52971930534394  -4.98828787402259;    1.05077079443873     1.05077079443873     2.22660332043807 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0345544204709578   0.0345544204709578      1.2140150067485;
1525176491301609044;   -0.443322319528452     0.767207060899924    -0.536135256343581 -3.99804809892215e-12 -1.24945246859504e-13                     0      2.77018863608547     -2.52974153028149       -4.990859411791;   0.905954106091111    0.905954106091111     2.14554879012109 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0346509964385332   0.0346509964385332     1.20759805696107;
1525176491400456400;-0.437218727351816   0.76843165117007 -0.542243732573927                  0                  0                  0   2.77018863608547  -2.52974153028149    -4.990859411791;    0.94695411723357     0.94695411723357     2.18654880126354 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.034750996436007    0.034750996436007     1.21759805673756;
1525176491500341246;-0.431125313396381  0.769654199339319 -0.548342022438127                  0                  0                  0   2.77018863608547  -2.52974153028149    -4.990859411791;   0.987954128342671    0.987954128342671     2.22754881237265 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0348509964334808   0.0348509964334808     1.22759805651404;
1525176491600456057;-0.425017668805811  0.770879602662847  -0.55445455432472                  0                  0                  0   2.77018863608547  -2.52974153028149    -4.990859411791;    1.02895413949843     1.02895413949843      2.2685488235284 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0349509964309546   0.0349509964309546     1.23759805629052;
