KF_Time;KF_States;KF_Covariance;
1524643695868391838; -9.01956138100347   17.5514719988353   18.0875938064809  0.512117654132941   1.52682195543892 0.0300823756140925 -0.276437058609112  -1.42238881736766   16.7317010115993; 0.773537369488962  0.773537369488962   1.76984733393497  0.235027611928738  0.235027611928738   0.25514175429391 0.0801562458175448 0.0801562458175448  0.272089371709351;
1524643696069494496; -8.75690979945209   18.1463214680555   18.1290710852091  0.937635046396529   1.46138983821114 0.0234423035649599 -0.277163021888969  -1.42250457471074   16.7319422309017;0.721551757134282 0.721551757134282  1.71462963864277 0.239675921468093 0.239675921468093 0.256681918905309 0.080166117985406 0.080166117985406 0.273006186798854;
1524643696268231438; -8.75690979945209   18.1463214680555   18.1290710852091  0.937635046396529   1.46138983821114 0.0234423035649599 -0.277163021888969  -1.42250457471074   16.7319422309017;0.721551757134282 0.721551757134282  1.71462963864277 0.239675921468093 0.239675921468093 0.256681918905309 0.080166117985406 0.080166117985406 0.273006186798854;
1524643696468223750; -8.75690979945209   18.1463214680555   18.1290710852091  0.937635046396529   1.46138983821114 0.0234423035649599 -0.277163021888969  -1.42250457471074   16.7319422309017;0.721551757134282 0.721551757134282  1.71462963864277 0.239675921468093 0.239675921468093 0.256681918905309 0.080166117985406 0.080166117985406 0.273006186798854;
1524643696669971644; -8.64983830343203   18.8570201175082   18.1317254605383   1.26615077173608   1.41804312002739 0.0180183202728243  -0.27767073392207  -1.42263075013522   16.7320778801526; 0.740072206037357  0.740072206037357   1.75712393036063  0.239875948318862  0.239875948318862  0.256786598131775 0.0801760400278586 0.0801760400278586  0.273944609656373;
1524643696868206928; -8.64983830343203   18.8570201175082   18.1317254605383   1.26615077173608   1.41804312002739 0.0180183202728243  -0.27767073392207  -1.42263075013522   16.7320778801526; 0.740072206037357  0.740072206037357   1.75712393036063  0.239875948318862  0.239875948318862  0.256786598131775 0.0801760400278586 0.0801760400278586  0.273944609656373;
1524643697069149613; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643697268222010; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643697468197565; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643697668206097; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643697868192338; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643698068203791; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643698268217214; -8.56408368753264   19.1634177190998   18.1556210909503     1.416730702937   1.34792722774447 0.0141939503238453 -0.277901965589059  -1.42269015070942    16.732204926779; 0.700158454618947  0.700158454618947   1.70423071583685  0.242592601605641  0.242592601605641  0.257921012047911 0.0801859967516399 0.0801859967516399  0.274896327658806;
1524643698469877091;   -7.09673137907753     19.0934864819217     18.0888514240823     1.72934702571531    0.988767176173799 -0.00791519532061339   -0.278311889238584    -1.42246332668515     16.7312694039632;0.605950833848037 0.605950833848037  1.60965749426608 0.140763899934179 0.140763899934179 0.159144094090582 0.080195950210505 0.080195950210505 0.275821694303043;
1524643698668216023;   -7.09673137907753     19.0934864819217     18.0888514240823     1.72934702571531    0.988767176173799 -0.00791519532061339   -0.278311889238584    -1.42246332668515     16.7312694039632;0.605950833848037 0.605950833848037  1.60965749426608 0.140763899934179 0.140763899934179 0.159144094090582 0.080195950210505 0.080195950210505 0.275821694303043;
1524643698868860309;   -6.85049179915536     19.0020702747139     18.0847726868802     1.70907690456298    0.933159589102378 -0.00963869225451127   -0.278358938144445    -1.42241716270326     16.7310346408242; 0.592592319852583  0.592592319852583   1.57485383973086  0.188964558231252  0.188964558231252  0.202905978185023 0.0802059456570147 0.0802059456570147  0.276804758631375;
1524643699068254797;   -6.85049179915536     19.0020702747139     18.0847726868802     1.70907690456298    0.933159589102378 -0.00963869225451127   -0.278358938144445    -1.42241716270326     16.7310346408242; 0.592592319852583  0.592592319852583   1.57485383973086  0.188964558231252  0.188964558231252  0.202905978185023 0.0802059456570147 0.0802059456570147  0.276804758631375;
1524643699268908202;  -6.47967818251195     18.863048132573    18.1033022407838    1.68551908482648   0.856387267092469 -0.0101966218360541  -0.278392519178386   -1.42236684994351    16.7308485933447; 0.585942463879174  0.585942463879174   1.54630172440452  0.218268430204215  0.218268430204215  0.229571523765399 0.0802159432617997 0.0802159432617997  0.277790630416185;
1524643699468305562;  -6.47967818251195     18.863048132573    18.1033022407838    1.68551908482648   0.856387267092469 -0.0101966218360541  -0.278392519178386   -1.42236684994351    16.7308485933447; 0.585942463879174  0.585942463879174   1.54630172440452  0.218268430204215  0.218268430204215  0.229571523765399 0.0802159432617997 0.0802159432617997  0.277790630416185;
1524643699668357977;  -6.47967818251195     18.863048132573    18.1033022407838    1.68551908482648   0.856387267092469 -0.0101966218360541  -0.278392519178386   -1.42236684994351    16.7308485933447; 0.585942463879174  0.585942463879174   1.54630172440452  0.218268430204215  0.218268430204215  0.229571523765399 0.0802159432617997 0.0802159432617997  0.277790630416185;
1524643699869378071;  -5.63311130814109    18.7740484967645    18.1504538358472    1.64105214549089   0.710607290028615 -0.0117954686205883  -0.278404296385944   -1.42231714173782    16.7306427412538; 0.636132403764445  0.636132403764445   1.60035212827802  0.231390660141867  0.231390660141867  0.243695993344144 0.0802259422121625 0.0802259422121625  0.278779201970795;
1524643700068346972;  -5.63311130814109    18.7740484967645    18.1504538358472    1.64105214549089   0.710607290028615 -0.0117954686205883  -0.278404296385944   -1.42231714173782    16.7306427412538; 0.636132403764445  0.636132403764445   1.60035212827802  0.231390660141867  0.231390660141867  0.243695993344144 0.0802259422121625 0.0802259422121625  0.278779201970795;
1524643700268850285;  -5.09541259095274     18.301612398684    18.1716504029196    1.57767755750514     0.5578902649555 -0.0135311447936332  -0.278407380630116   -1.42227969069888    16.7304118361658; 0.630033125480623  0.630033125480623   1.57820196955821  0.239369887621534  0.239369887621534  0.251853444742736 0.0802359417598848 0.0802359417598848  0.279769241591612;
1524643700468206868;  -5.09541259095274     18.301612398684    18.1716504029196    1.57767755750514     0.5578902649555 -0.0135311447936332  -0.278407380630116   -1.42227969069888    16.7304118361658; 0.630033125480623  0.630033125480623   1.57820196955821  0.239369887621534  0.239369887621534  0.251853444742736 0.0802359417598848 0.0802359417598848  0.279769241591612;
1524643700668812506; -4.59194563792331   17.1761568944775   18.1057479235115   1.57411170311359 -0.371153342997982 -0.011705946499487 -0.278407777812809  -1.42229648815147   16.7303230283768;  0.62526377444365   0.62526377444365   1.55957777693398  0.243973806829393  0.243973806829393  0.256454367358369 0.0802459415793994 0.0802459415793994  0.280760367585291;
