KF_Time;KF_States;KF_Covariance;
1527252285638558475;   5.26525595483644   0.419844292208696    14.9211008989897    2.56284188093574   0.264287194997159 0.00936580050766874    7.29210171491925    1.05743373117504    42.0825180111335; 0.106918579767875  0.106918633610716  0.130717466146746 0.0528244046016885 0.0528243873126319 0.0566488131968523 0.0272513184057071 0.0272513271502358  0.366886832113783;
1527252285739921963;   5.20989131901552   0.426411079680728    14.9201573761914    2.56346416230561   0.265084684490599 0.00978452032607212    7.29233265910328    1.05807965713286    42.0841459592185; 0.108860269263916   0.10886032395241    0.1345544476499 0.0528284382161119 0.0528284208556686 0.0566943650139998  0.027332076746168 0.0273320854689484  0.370250047195606;
1527252285831041996;   5.17434468112811   0.441753494276848    14.9199219519563     2.5617232645076   0.265473250041672 0.00881898246902552    7.29354030453336    1.05938058309767    42.0873510145155; 0.108544213013204  0.108544269643773  0.137973835716496 0.0514531256127764 0.0514531164614199 0.0535575553220298 0.0273957690265007 0.0273957777063599  0.367170852250412;
1527252285932064732;   5.12966262939751     0.4503899191066    14.9189234884959    2.56201463083932   0.266464106989968 0.00604856810884942    7.29436901447055    1.06003273430575     42.088919570302; 0.110434490054067  0.110434547466275  0.141780532704071 0.0528244078212743 0.0528243905321213 0.0566490140238456 0.0274786256441191 0.0274786343028741  0.370717477852205;
1527252286033523311;   5.10734501073648   0.468950209824979      14.92260555759    2.55983201070957   0.267359241644776 0.00470366645135237    7.29657789820052    1.06130519202056    42.0921989079839; 0.110025772084697  0.110025831278245  0.145155063766165 0.0514531225654073 0.0514531134141411 0.0535573766530743 0.0275462442991752 0.0275462529165345  0.367984070869482;
1527252286134692909;   5.07684425015365   0.482103613758734    14.9250893306716    2.55981047922385   0.268507618618343 0.00152812031924611    7.29762932223361     1.0619047031346    42.0938165242456; 0.111862995847062  0.111863055461849  0.148934302182893 0.0527932159100344 0.0527931988075741 0.0565988053666346 0.0276308879994756 0.0276308965945329  0.371675148935871;
1527252286235796541;     5.05898715868616     0.496222367655375       14.927911966972      2.56810726548699     0.260798879710593 -0.000958916343291893      7.29922400570815      1.06250745054947      42.0953343697375; 0.113624308563301  0.113624368909947  0.152693707653948  0.052826692170603 0.0528266702222033 0.0566909228583677  0.027716011457257 0.0277160200325249  0.375296195584109;
1527252286337151374;    5.02215430530137    0.387344053996017     15.0595432653564     2.56889571248312    0.260288654504617 -0.00281864294454501       7.310100226709     1.08878555265624     42.0317224181443;0.0838179764772683 0.0838180097095953 0.0773603651386563 0.0514522496103719 0.0514522380330155 0.0535559844349038 0.0267095220565669 0.0267095310053152  0.352385277950895;
1527252286438360234;    5.01330588585988    0.403064665835195     15.0617148581692     2.56949096190771    0.257901332418045 -0.00286051921798645     7.31311036050459      1.0899968193489     42.0314605438639; 0.086613039560536  0.086613073468237 0.0814208914962019 0.0528227532135738 0.0528227313403477 0.0566462830195486 0.0267726549353785 0.0267726638651494  0.355306525043816;
1527252286539597041;    5.00490272743309    0.418417987632467      15.064022268448     2.57170998228002    0.255564537314655 -0.00159726240095234     7.31600542510611     1.09112790069663     42.0311499698283;0.0893073229541823 0.0893073576273955 0.0854651245990946 0.0528267768022105 0.0528267548388893 0.0566915858709157 0.0268368335721688 0.0268368424823004     0.358139381939;
1527252286640749526;     4.97558959085723     0.362087447788064      15.0447751382365      2.56965390741713     0.253077349390271 -0.000917864130138049      7.32588131824104       1.1053993512799      42.0366580789883;0.0718422223552113 0.0718422434020087 0.0573883512751523 0.0528267876703688 0.0528267657066405   0.05669218207287 0.0262348094683608 0.0262348187668313  0.353775284933617;
