KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250342223326921;   1.58418771525181   0.029404119722567 -0.0167954464782236;  25.6845443071244 -0.413926219512657   58.8842848704723;
1527250342273334026;    1.5813862574842  0.0345906855366681 -0.0153802539350336;   25.439813770642 -0.387396083720802    58.873005590244;
1527250342353338957;  1.58126771624371 0.0338219265394708 -0.011615055875989;  25.5659419322908 -0.386875103698846   58.8719752531851;
1527250342443346024;   1.58735342709541  0.0343708742285116 -0.0066718545050339;  25.3781301070089 -0.308534293943805   58.8709104218206;
1527250342493347883;    1.58822308270719   0.0365317753671078 -0.00407245823859133; 25.4568222388914 -0.30719572097584  58.8706396304228;
1527250342583353996;   1.58813473454484   0.037760028112703 0.00142451048772869;  25.2751281632151 -0.281002608784545   58.8705285984796;
1527250342653363943;  1.58889491473594  0.040687338003089 0.0051133783242448;  25.3849892358082 -0.277271380216562   58.8707721020745;
1527250342723366976;   1.58620323087424  0.0432675870015366 0.00980493916903268;  25.1272415855639 -0.250088810836149   58.8612857301535;
1527250342813374996;  1.58761697512031 0.0443638755132684 0.0127798894823938;  24.8229849132359 -0.220759177927508   58.8622894333622;
1527250342893380880;  1.59056266740569  0.045280427300919 0.0164138283797192;   24.948715257299 -0.214051705857251   58.8634308804159;
1527250342983387947;  1.59203984980227 0.0469528409216152 0.0176916784482966;  24.7119086730982 -0.194627416325069   58.8549281309925;
1527250343023392916;   1.5911206762804 0.0481364636346091 0.0187622704197256;  24.7750721399007 -0.190843179354129   58.8556277370921;
1527250343113400936;  1.59361020761433 0.0498183745149981 0.0185156073151442;  24.5500997173834 -0.171041544022264   58.8572710990967;
1527250343173404932;  1.59575254138371  0.048466218343209 0.0175421747456931;  24.2777632389793 -0.159673409904401   58.8583651905548;
1527250343263411999;  1.59777989641108  0.049830105169368 0.0169167330197922;  24.4164256392935 -0.138581947688555   58.8599482686531;
1527250343313410044;  1.59925034242485 0.0498313642508591 0.0162563491104691;  24.0729303072224 -0.128525728036579   58.8507831267127;
