KF_Time;KF_States;KF_Covariance;
1455208273781617192;  0.225262479537429  -0.271894367167195    4.76210533399224                   0                   0                   0   0.204155285581807 -0.0744128625204147  0.0803418623890016;  0.0596572349331061   0.0596572349331061   0.0533383216898824 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0392607577918386   0.0392607577918386    0.761174547720225;
1455208273882602913;  0.219119069440742  -0.277099680511172    4.70195612469879                   0                   0                   0   0.204155285581807 -0.0744128625204147  0.0803418623890016;  0.0637572442946061   0.0637572442946061   0.0574383310513824 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393607577893124   0.0393607577893124    0.771174547496708;
1455208273983344518;  0.184293969015704  -0.367165645892589    4.67231896490319                   0                   0                   0   0.205349464021088 -0.0708517882455083  0.0749538587276113;  0.0516403852801115   0.0516403852801115    0.044947940796942 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394320209898137   0.0394320209898137    0.780747432343489;
1455208274084332785;  0.189430103351223  -0.364302838922415    4.61440953002882                   0                   0                   0   0.205349464021088 -0.0708517882455083  0.0749538587276113;  0.0557403949758782   0.0557403949758782   0.0490479504927087 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395320209872875   0.0395320209872875    0.790747432119971;
1455208274185394819;  0.224832431971791  -0.360759457424266    4.56216430537658                   0                   0                   0   0.224638661356048 -0.0764143523594869   0.104291154279043;  0.0626965237527086   0.0626965237527086   0.0570544079740348 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0392054949047025   0.0392054949047025    0.754515370934972;
1455208274286406038;  0.222821833023851  -0.341378172030273    4.51177479777875                   0                   0                   0   0.224638661356048 -0.0764143523594869   0.104291154279043;  0.0667965330692225   0.0667965330692225   0.0611544172905487 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393054949021763   0.0393054949021763    0.764515370711455;
1455208274377385828;  0.220743334815218  -0.321342367767236     4.4596836030712                   0                   0                   0   0.224638661356048 -0.0764143523594869   0.104291154279043;  0.0708965430242296   0.0708965430242296   0.0652544272455558 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07     0.03940549489965     0.03940549489965    0.774515370487937;
1455208274478428583;  0.205454276484709  -0.290170018669866    4.40718413780456                   0                   0                   0   0.224638661356048 -0.0764143523594869   0.104291154279043;  0.0749965531240931   0.0749965531240931   0.0693544373454193 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395054948971238   0.0395054948971238     0.78451537026442;
1455208274579356237;  0.176272662369933  -0.247798993767034    4.35715669907512                   0                   0                   0   0.224638661356048 -0.0764143523594869   0.104291154279043;  0.0790965631347979   0.0790965631347979    0.073454447356124 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396054948945976   0.0396054948945976    0.794515370040903;
1455208274680418318;  0.208244021661249  -0.316591096458261    4.33279174861699                   0                   0                   0   0.241791841362477 -0.0771821417922095   0.126776104206652;  0.0599875576816581   0.0599875576816581   0.0540166441996279 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0392452473821989   0.0392452473821989    0.757344327627945;
